|   a   |   b   |   c   |   d   |   e   |   f   |   g   |   h   |   sel   |  out  |
|   0   |   1   |   0   |   1   |   0   |   1   |   0   |   1   |   000   |   0   |
|   0   |   1   |   0   |   1   |   0   |   1   |   0   |   1   |   001   |   1   |
|   0   |   1   |   0   |   1   |   0   |   1   |   0   |   1   |   010   |   0   |
|   0   |   1   |   0   |   1   |   0   |   1   |   0   |   1   |   011   |   1   |
|   0   |   1   |   0   |   1   |   0   |   1   |   0   |   1   |   100   |   0   |
|   0   |   1   |   0   |   1   |   0   |   1   |   0   |   1   |   101   |   1   |
|   0   |   1   |   0   |   1   |   0   |   1   |   0   |   1   |   110   |   0   |
|   0   |   1   |   0   |   1   |   0   |   1   |   0   |   1   |   111   |   1   |
|   1   |   0   |   1   |   0   |   1   |   0   |   1   |   0   |   000   |   1   |
|   1   |   0   |   1   |   0   |   1   |   0   |   1   |   0   |   001   |   0   |
|   1   |   0   |   1   |   0   |   1   |   0   |   1   |   0   |   010   |   1   |
|   1   |   0   |   1   |   0   |   1   |   0   |   1   |   0   |   011   |   0   |
|   1   |   0   |   1   |   0   |   1   |   0   |   1   |   0   |   100   |   1   |
|   1   |   0   |   1   |   0   |   1   |   0   |   1   |   0   |   101   |   0   |
|   1   |   0   |   1   |   0   |   1   |   0   |   1   |   0   |   110   |   1   |
|   1   |   0   |   1   |   0   |   1   |   0   |   1   |   0   |   111   |   0   |
